,Date,P/E,P/B,Div Yield
0,2000-06-01,135.59,36.96,0.14
1,2000-06-02,145.74,39.73,0.13
2,2000-06-05,155.44,42.37,0.12
3,2000-06-06,163.81,44.65,0.11
4,2000-06-07,166.1,45.28,0.11
5,2000-06-08,170.23,46.4,0.11
6,2000-06-09,167.45,45.64,0.11
7,2000-06-12,164.66,44.88,0.11
8,2000-06-13,164.17,44.75,0.11
9,2000-06-14,167.64,45.69,0.11
10,2000-06-15,175.34,47.79,0.11
11,2000-06-16,185.24,50.49,0.1
12,2000-06-19,190.43,51.91,0.1
13,2000-06-20,193.57,52.76,0.1
14,2000-06-21,182.85,49.84,0.1
15,2000-06-22,146.99,43.26,0.12
16,2000-06-23,139.79,41.14,0.12
17,2000-06-26,142.09,41.82,0.12
18,2000-06-27,140.38,41.32,0.12
19,2000-06-28,143.65,42.28,0.12
20,2000-06-29,144.05,42.4,0.12
21,2000-06-30,144.38,42.49,0.12
22,2000-07-03,153.3,45.12,0.11
23,2000-07-04,155.66,45.81,0.11
24,2000-07-05,152.74,44.95,0.11
25,2000-07-06,149.72,44.06,0.11
26,2000-07-07,147.96,43.55,0.12
27,2000-07-10,146.45,43.1,0.12
28,2000-07-11,142.62,41.97,0.12
29,2000-07-12,148.74,43.77,0.12
30,2000-07-13,141.74,41.72,0.12
31,2000-07-14,138.59,40.79,0.12
32,2000-07-17,135.91,40.0,0.13
33,2000-07-18,132.26,38.93,0.13
34,2000-07-19,130.04,38.27,0.13
35,2000-07-20,130.16,38.31,0.13
36,2000-07-21,126.39,37.2,0.14
37,2000-07-24,114.36,33.66,0.15
38,2000-07-25,124.46,36.63,0.14
39,2000-07-26,114.92,33.82,0.15
40,2000-07-27,119.76,35.25,0.14
41,2000-07-28,119.94,35.3,0.14
42,2000-07-31,117.75,34.65,0.15
43,2000-08-01,117.02,34.44,0.15
44,2000-08-02,116.97,34.43,0.15
45,2000-08-03,113.79,33.49,0.15
46,2000-08-04,106.77,31.42,0.16
47,2000-08-07,107.54,31.65,0.16
48,2000-08-08,118.73,34.94,0.14
49,2000-08-09,121.88,35.87,0.14
50,2000-08-10,116.97,34.42,0.15
51,2000-08-11,116.68,34.34,0.15
52,2000-08-14,119.18,35.07,0.14
53,2000-08-16,125.71,37.0,0.14
54,2000-08-17,122.2,35.97,0.14
55,2000-08-18,128.53,37.83,0.13
56,2000-08-21,131.89,38.82,0.13
57,2000-08-22,135.29,39.82,0.13
58,2000-08-23,132.98,39.14,0.13
59,2000-08-24,140.84,41.45,0.12
60,2000-08-25,140.8,41.44,0.12
61,2000-08-28,137.86,40.57,0.12
62,2000-08-29,139.89,41.17,0.12
63,2000-08-30,142.22,41.86,0.12
64,2000-08-31,146.32,43.06,0.12
65,2000-09-04,169.96,52.14,0.1
66,2000-09-05,167.32,51.33,0.11
67,2000-09-06,166.63,51.12,0.11
68,2000-09-07,166.72,51.15,0.11
69,2000-09-08,169.11,51.88,0.1
70,2000-09-11,166.69,51.14,0.11
71,2000-09-12,167.68,51.44,0.11
72,2000-09-13,167.1,51.26,0.11
73,2000-09-14,164.91,50.59,0.11
74,2000-09-15,157.19,48.22,0.11
75,2000-09-18,145.84,44.74,0.12
76,2000-09-19,142.71,43.78,0.12
77,2000-09-20,146.02,44.8,0.12
78,2000-09-21,139.88,42.91,0.13
79,2000-09-22,130.27,39.96,0.14
80,2000-09-25,144.69,44.39,0.12
81,2000-09-26,138.12,42.37,0.13
82,2000-09-27,139.56,42.81,0.13
83,2000-09-28,136.86,41.99,0.13
84,2000-09-29,137.26,42.11,0.13
85,2000-10-03,137.63,42.22,0.13
86,2000-10-04,139.2,42.7,0.13
87,2000-10-05,136.21,41.79,0.13
88,2000-10-06,136.12,41.76,0.13
89,2000-10-09,131.9,40.46,0.13
90,2000-10-10,127.61,39.15,0.14
91,2000-10-11,120.03,36.82,0.15
92,2000-10-12,122.04,37.44,0.15
93,2000-10-13,114.78,35.21,0.15
94,2000-10-16,115.99,35.58,0.15
95,2000-10-17,112.2,34.42,0.16
96,2000-10-18,105.96,32.5,0.17
97,2000-10-19,117.54,36.06,0.15
98,2000-10-20,121.23,37.19,0.15
99,2000-10-23,114.96,35.27,0.15
100,2000-10-24,118.1,36.23,0.15
101,2000-10-25,121.25,37.2,0.15
102,2000-10-26,121.33,37.22,0.15
103,2000-10-27,122.43,37.56,0.14
104,2000-10-30,119.37,36.62,0.15
105,2000-10-31,122.22,37.49,0.15
106,2000-11-01,124.72,38.26,0.14
107,2000-11-02,124.72,38.26,0.14
108,2000-11-03,127.45,39.1,0.14
109,2000-11-06,126.74,38.88,0.14
110,2000-11-07,127.82,39.21,0.14
111,2000-11-08,131.41,40.31,0.13
112,2000-11-09,131.23,40.26,0.14
113,2000-11-10,127.36,39.07,0.14
114,2000-11-13,119.0,36.51,0.15
115,2000-11-14,125.3,38.44,0.14
116,2000-11-15,126.19,38.71,0.14
117,2000-11-16,125.96,38.64,0.14
118,2000-11-17,127.73,39.19,0.14
119,2000-11-20,130.28,39.97,0.14
120,2000-11-21,131.58,40.36,0.13
121,2000-11-22,126.86,38.92,0.14
122,2000-11-23,127.24,39.03,0.14
123,2000-11-24,128.63,39.46,0.14
124,2000-11-27,132.59,40.67,0.13
125,2000-11-28,130.62,40.07,0.14
126,2000-11-29,130.5,40.03,0.14
127,2000-11-30,127.14,39.0,0.14
128,2000-12-01,134.27,41.19,0.13
129,2000-12-04,131.74,40.42,0.13
130,2000-12-05,134.87,41.38,0.13
131,2000-12-06,136.05,41.74,0.13
132,2000-12-07,136.56,41.89,0.13
133,2000-12-08,139.25,42.72,0.13
134,2000-12-11,140.24,43.02,0.13
135,2000-12-12,140.56,43.12,0.13
136,2000-12-13,144.09,44.2,0.12
137,2000-12-14,140.55,43.12,0.13
138,2000-12-15,132.84,40.75,0.13
139,2000-12-18,132.58,40.67,0.13
140,2000-12-19,127.4,39.08,0.14
141,2000-12-20,124.41,38.17,0.14
142,2000-12-21,119.15,36.55,0.15
143,2000-12-22,77.17,22.15,0.13
144,2000-12-26,74.0,21.24,0.14
145,2000-12-27,75.82,21.76,0.13
146,2000-12-28,76.78,22.04,0.13
147,2000-12-29,79.51,22.82,0.13
148,2001-01-01,77.89,22.36,0.13
149,2001-01-02,79.33,22.77,0.13
150,2001-01-03,78.18,22.44,0.13
151,2001-01-04,85.09,24.43,0.12
152,2001-01-05,89.31,25.63,0.11
153,2001-01-08,84.47,24.25,0.12
154,2001-01-09,85.82,24.64,0.12
155,2001-01-10,84.01,24.12,0.12
156,2001-01-11,80.49,23.11,0.13
157,2001-01-12,82.78,23.76,0.12
158,2001-01-15,84.01,24.11,0.12
159,2001-01-16,82.93,23.81,0.12
160,2001-01-17,83.8,24.06,0.12
161,2001-01-18,86.67,24.88,0.12
162,2001-01-19,93.45,26.82,0.11
163,2001-01-22,93.45,26.82,0.11
164,2001-01-23,92.39,26.52,0.11
165,2001-01-24,93.5,26.84,0.11
166,2001-01-25,92.38,26.52,0.11
167,2001-01-29,89.21,25.61,0.11
168,2001-01-30,93.01,26.7,0.11
169,2001-01-31,91.72,26.33,0.11
170,2001-02-01,90.3,25.92,0.11
171,2001-02-02,92.18,26.46,0.11
172,2001-02-05,91.18,26.17,0.11
173,2001-02-06,91.99,26.41,0.11
174,2001-02-07,89.71,25.75,0.11
175,2001-02-08,91.19,26.17,0.11
176,2001-02-09,90.86,26.08,0.11
177,2001-02-12,91.68,26.32,0.11
178,2001-02-13,91.39,26.23,0.11
179,2001-02-14,90.02,25.84,0.11
180,2001-02-15,91.63,26.3,0.11
181,2001-02-16,88.15,25.3,0.12
182,2001-02-19,89.0,25.55,0.11
183,2001-02-20,87.98,25.26,0.12
184,2001-02-21,84.49,24.25,0.12
185,2001-02-22,81.6,23.42,0.12
186,2001-02-23,78.21,22.45,0.13
187,2001-02-26,78.96,22.66,0.13
188,2001-02-27,75.79,21.75,0.13
189,2001-02-28,81.56,23.41,0.12
190,2001-03-01,75.7,21.73,0.13
191,2001-03-02,65.9,18.92,0.15
192,2001-03-05,63.66,18.27,0.16
193,2001-03-07,68.1,19.55,0.15
194,2001-03-08,67.32,19.32,0.15
195,2001-03-09,61.43,17.63,0.17
196,2001-03-12,53.17,15.26,0.19
197,2001-03-13,48.06,13.8,0.21
198,2001-03-14,53.62,15.39,0.19
199,2001-03-15,56.74,16.29,0.18
200,2001-03-16,55.45,15.92,0.18
201,2001-03-19,54.46,15.63,0.19
202,2001-03-20,53.57,15.38,0.19
203,2001-03-21,54.23,15.57,0.19
204,2001-03-22,51.29,14.72,0.2
205,2001-03-23,48.92,14.04,0.21
206,2001-03-26,49.89,14.32,0.2
207,2001-03-27,52.28,15.01,0.19
208,2001-03-28,53.52,15.36,0.19
209,2001-03-29,50.74,14.57,0.2
210,2001-03-30,47.35,13.59,0.21
211,2001-04-02,46.14,13.25,0.22
212,2001-04-03,46.6,13.38,0.22
213,2001-04-04,44.55,12.79,0.23
214,2001-04-06,43.68,12.54,0.23
215,2001-04-09,43.73,12.55,0.23
216,2001-04-10,41.82,12.0,0.24
217,2001-04-11,35.21,10.11,0.29
218,2001-04-12,32.25,9.26,0.32
219,2001-04-16,35.73,10.26,0.28
220,2001-04-17,37.52,10.77,0.27
221,2001-04-18,43.4,12.46,0.23
222,2001-04-19,45.44,13.04,0.22
223,2001-04-20,47.13,13.53,0.22
224,2001-04-23,46.03,13.21,0.22
225,2001-04-24,49.52,14.21,0.21
226,2001-04-25,48.98,14.06,0.21
227,2001-04-26,46.78,13.43,0.22
228,2001-04-27,41.67,11.96,0.24
229,2001-04-30,47.21,13.55,0.22
230,2001-05-02,48.23,13.84,0.21
231,2001-05-03,48.88,14.03,0.21
232,2001-05-04,50.52,14.5,0.2
233,2001-05-07,52.4,15.04,0.19
234,2001-05-08,54.01,15.5,0.19
235,2001-05-09,50.54,14.51,0.2
236,2001-05-10,50.49,14.49,0.2
237,2001-05-11,50.58,14.52,0.2
238,2001-05-14,50.34,14.45,0.2
239,2001-05-15,51.03,14.65,0.2
240,2001-05-16,50.5,14.49,0.2
241,2001-05-17,51.95,14.91,0.2
242,2001-05-18,51.65,14.83,0.2
243,2001-05-21,33.08,10.5,0.26
244,2001-05-22,33.98,10.78,0.25
245,2001-05-23,35.17,11.16,0.24
246,2001-05-24,35.13,11.15,0.24
247,2001-05-25,35.49,11.26,0.24
248,2001-05-28,36.29,11.52,0.23
249,2001-05-29,36.15,11.48,0.23
250,2001-05-30,33.74,10.71,0.25
251,2001-05-31,33.0,10.48,0.26
0,2001-06-01,32.62,10.36,0.26
1,2001-06-04,30.87,9.8,0.27
2,2001-06-05,31.18,9.9,0.27
3,2001-06-06,32.02,10.16,0.26
4,2001-06-07,32.35,10.27,0.26
5,2001-06-08,33.43,10.61,0.25
6,2001-06-11,32.9,10.44,0.26
7,2001-06-12,33.34,10.58,0.25
8,2001-06-13,33.32,10.58,0.25
9,2001-06-14,32.14,10.2,0.26
10,2001-06-15,30.08,9.55,0.28
11,2001-06-18,29.88,9.48,0.28
12,2001-06-19,30.06,9.54,0.28
13,2001-06-20,29.06,9.23,0.29
14,2001-06-21,28.52,8.74,0.3
15,2001-06-22,27.92,8.56,0.31
16,2001-06-25,25.25,7.74,0.34
17,2001-06-26,27.08,8.3,0.32
18,2001-06-27,27.48,8.42,0.31
19,2001-06-28,27.47,8.42,0.31
20,2001-06-29,27.84,8.53,0.31
21,2001-07-02,27.36,8.39,0.32
22,2001-07-03,25.62,7.85,0.34
23,2001-07-04,26.47,8.11,0.33
24,2001-07-05,25.79,7.91,0.34
25,2001-07-06,26.17,8.02,0.33
26,2001-07-09,24.87,7.62,0.35
27,2001-07-10,25.25,7.74,0.34
28,2001-07-11,26.41,8.09,0.33
29,2001-07-12,28.2,8.64,0.31
