,Date,P/E,P/B,Div Yield
0,2006-04-03,53.22,5.37,0.8
1,2006-04-04,54.18,5.47,0.79
2,2006-04-05,54.26,5.48,0.79
3,2006-04-07,53.89,5.44,0.79
4,2006-04-10,53.38,5.39,0.8
5,2006-04-12,51.9,5.24,0.82
6,2006-04-13,51.0,5.15,0.84
7,2006-04-17,52.69,5.32,0.81
8,2006-04-18,54.84,5.41,0.8
9,2006-04-19,54.08,5.33,0.81
10,2006-04-20,54.14,5.34,0.81
11,2006-04-21,53.84,5.31,0.81
12,2006-04-24,54.17,5.34,0.81
13,2006-04-25,53.7,5.3,0.81
14,2006-04-26,53.82,5.33,0.81
15,2006-04-27,54.45,5.44,0.79
16,2006-04-28,63.07,5.62,0.77
17,2006-04-29,63.25,5.65,0.76
18,2006-05-02,65.56,5.86,0.74
19,2006-05-03,65.02,5.81,0.74
20,2006-05-04,64.9,5.8,0.74
21,2006-05-05,64.08,5.73,0.75
22,2006-05-08,65.43,5.85,0.74
23,2006-05-09,66.52,5.95,0.73
24,2006-05-10,66.1,5.99,0.72
25,2006-05-11,66.93,5.95,0.73
26,2006-05-12,66.97,5.95,0.72
27,2006-05-15,65.48,5.82,0.74
28,2006-05-16,64.63,5.75,0.75
29,2006-05-17,64.75,5.76,0.75
30,2006-05-18,60.57,5.39,0.8
31,2006-05-19,58.12,5.17,0.84
32,2006-05-22,55.67,4.95,0.87
33,2006-05-23,58.21,5.18,0.83
34,2006-05-24,56.29,5.0,0.86
35,2006-05-25,57.22,5.09,0.85
36,2006-05-26,59.06,5.25,0.82
37,2006-05-29,59.62,5.3,0.81
38,2006-05-30,57.41,5.23,0.83
0,2006-05-31,55.37,5.04,0.86
1,2006-06-01,53.46,4.87,0.89
2,2006-06-02,53.37,4.86,0.89
3,2006-06-05,54.62,4.97,0.87
4,2006-06-06,52.0,4.74,0.91
5,2006-06-07,48.48,4.42,0.98
6,2006-06-08,45.27,4.12,1.05
7,2006-06-09,45.9,4.18,1.03
8,2006-06-12,45.01,4.1,1.05
9,2006-06-13,42.31,3.85,1.12
10,2006-06-14,40.44,3.68,1.17
11,2006-06-15,44.43,4.05,1.07
12,2006-06-16,46.78,4.26,1.01
13,2006-06-19,47.31,4.31,1.0
14,2006-06-20,47.21,4.3,1.0
15,2006-06-21,48.45,4.41,0.98
16,2006-06-22,49.57,4.51,0.96
17,2006-06-23,49.66,4.52,0.95
