,Date,P/E,P/B,Div Yield
0,2004-01-01,13.98,1.15,3.51
1,2004-01-02,14.37,1.18,3.41
2,2004-01-05,14.32,1.17,3.43
3,2004-01-06,14.08,1.15,3.49
4,2004-01-07,13.73,1.13,3.57
5,2004-01-08,14.08,1.15,3.49
6,2004-01-09,14.26,1.17,3.44
7,2004-01-12,14.13,1.16,3.47
8,2004-01-13,14.22,1.16,3.45
9,2004-01-14,14.41,1.18,3.41
10,2004-01-15,14.26,1.17,3.44
11,2004-01-16,13.89,1.14,3.53
12,2004-01-19,13.97,1.14,3.51
13,2004-01-20,13.76,1.13,3.57
14,2004-01-21,12.73,1.04,3.86
15,2004-01-22,12.34,1.01,3.98
16,2004-01-23,12.93,1.06,3.8
17,2004-01-27,13.35,1.09,3.68
18,2004-01-28,13.06,1.07,3.76
19,2004-01-29,12.99,1.06,3.78
20,2004-01-30,12.59,1.03,3.9
21,2004-02-03,12.07,0.99,4.07
22,2004-02-04,12.47,1.02,3.94
23,2004-02-05,12.58,1.03,3.9
24,2004-02-06,12.72,1.04,3.86
25,2004-02-09,13.05,1.07,3.76
26,2004-02-10,13.07,1.07,3.75
27,2004-02-11,13.22,1.08,3.71
28,2004-02-12,13.44,1.1,3.65
29,2004-02-13,13.54,1.11,3.63
30,2004-02-16,13.66,1.12,3.59
31,2004-02-17,13.65,1.12,3.6
32,2004-02-18,13.64,1.12,3.6
33,2004-02-19,13.32,1.09,3.69
34,2004-02-20,13.27,1.09,3.7
35,2004-02-23,12.98,1.06,3.78
36,2004-02-24,12.98,1.06,3.78
37,2004-02-25,12.86,1.05,3.82
38,2004-02-26,12.76,1.05,3.85
39,2004-02-27,12.89,1.06,3.81
40,2004-03-01,13.12,1.07,3.74
41,2004-03-03,13.1,1.07,3.75
42,2004-03-04,13.01,1.07,3.77
43,2004-03-05,13.07,1.07,3.76
44,2004-03-08,13.32,1.09,3.69
45,2004-03-09,13.22,1.08,3.71
46,2004-03-10,13.06,1.07,3.76
47,2004-03-11,12.85,1.05,3.82
48,2004-03-12,12.88,1.06,3.81
49,2004-03-15,12.51,1.02,3.92
50,2004-03-16,12.28,1.01,4.0
51,2004-03-17,12.39,1.01,3.96
52,2004-03-18,12.19,1.0,4.03
53,2004-03-19,12.3,1.01,3.99
54,2004-03-22,11.92,0.98,4.12
55,2004-03-23,11.82,0.97,4.15
56,2004-03-24,11.89,0.97,4.13
57,2004-03-25,12.02,0.98,4.08
58,2004-03-26,12.44,1.02,3.95
59,2004-03-29,12.7,1.04,3.87
60,2004-03-30,12.81,1.05,3.83
61,2004-03-31,9.92,1.06,3.8
62,2004-04-01,10.19,1.09,3.7
63,2004-04-02,10.27,1.09,3.67
64,2004-04-05,10.44,1.11,3.62
65,2004-04-06,10.35,1.1,3.64
66,2004-04-07,10.37,1.11,3.64
67,2004-04-08,10.51,1.12,3.59
68,2004-04-12,10.57,1.13,3.57
69,2004-04-13,10.76,1.15,3.51
70,2004-04-15,10.95,1.17,3.44
71,2004-04-16,11.01,1.17,3.43
72,2004-04-17,11.14,1.19,3.39
73,2004-04-19,11.01,1.17,3.43
74,2004-04-20,10.98,1.17,3.44
75,2004-04-21,11.18,1.19,3.37
76,2004-04-22,11.43,1.22,3.3
77,2004-04-23,11.48,1.22,3.29
78,2004-04-27,10.92,1.16,3.46
79,2004-04-28,10.93,1.16,3.45
80,2004-04-29,11.03,1.18,3.42
81,2004-04-30,11.05,1.18,3.42
82,2004-05-03,10.79,1.15,3.5
83,2004-05-04,11.16,1.19,3.38
84,2004-05-05,11.25,1.2,3.35
85,2004-05-06,11.51,1.23,3.28
86,2004-05-07,11.42,1.22,3.3
87,2004-05-10,11.23,1.2,3.36
88,2004-05-11,10.63,1.13,3.55
89,2004-05-12,10.71,1.14,3.52
90,2004-05-13,10.73,1.14,3.52
91,2004-05-14,9.59,1.02,3.94
92,2004-05-17,8.47,0.9,4.46
93,2004-05-18,9.19,0.98,4.11
94,2004-05-19,9.75,1.04,3.87
95,2004-05-21,9.67,1.03,3.9
96,2004-05-24,9.88,1.05,3.82
97,2004-05-25,9.8,1.04,3.85
98,2004-05-26,9.94,1.06,3.79
99,2004-05-27,9.84,1.05,3.83
100,2004-05-28,9.43,1.01,4.0
0,2004-05-31,8.98,0.96,4.2
1,2004-06-01,9.22,0.98,4.09
2,2004-06-02,9.35,1.0,4.04
3,2004-06-03,9.21,0.98,4.1
4,2004-06-04,9.2,0.98,4.1
5,2004-06-07,9.3,0.99,4.06
6,2004-06-08,9.3,0.99,4.06
7,2004-06-09,9.41,1.0,4.01
8,2004-06-10,9.44,1.01,4.0
9,2004-06-11,9.26,0.99,4.07
10,2004-06-14,8.95,0.95,4.22
11,2004-06-15,9.0,0.96,4.19
12,2004-06-16,9.02,0.96,4.18
13,2004-06-17,8.98,0.96,4.2
14,2004-06-18,8.9,0.95,4.24
15,2004-06-21,8.73,0.93,4.32
16,2004-06-22,8.66,0.92,4.36
17,2004-06-23,8.44,0.9,4.47
18,2004-06-24,8.48,0.9,4.45
19,2004-06-25,8.61,0.92,4.38
20,2004-06-28,8.82,0.94,4.28
21,2004-06-29,8.87,0.95,4.25
22,2004-06-30,8.82,0.94,4.29
23,2004-07-01,9.73,1.01,4.11
24,2004-07-02,9.75,1.01,4.1
25,2004-07-05,9.63,1.0,4.15
26,2004-07-06,9.66,1.0,4.14
27,2004-07-07,9.69,1.0,4.13
28,2004-07-08,9.52,0.99,4.2
29,2004-07-09,9.7,1.0,4.12
30,2004-07-12,9.76,1.01,4.1
31,2004-07-13,9.7,1.0,4.12
32,2004-07-14,9.72,1.01,4.12
33,2004-07-15,9.79,1.01,4.09
34,2004-07-16,9.95,1.03,4.02
35,2004-07-19,10.04,1.04,3.98
36,2004-07-20,10.0,1.04,4.0
37,2004-07-21,10.02,1.04,3.99
38,2004-07-22,10.12,1.05,3.95
39,2004-07-23,10.2,1.06,3.92
40,2004-07-26,10.25,1.06,3.9
41,2004-07-27,10.09,1.05,3.96
42,2004-07-28,10.01,1.04,4.0
43,2004-07-29,10.09,1.05,3.96
44,2004-07-30,10.15,1.05,3.94
45,2004-08-02,10.14,1.05,3.95
46,2004-08-03,10.16,1.05,3.94
47,2004-08-04,10.21,1.06,3.92
48,2004-08-05,10.37,1.07,3.86
49,2004-08-06,10.32,1.07,3.87
50,2004-08-09,10.39,1.08,3.85
51,2004-08-10,10.4,1.08,3.85
52,2004-08-11,10.19,1.06,3.92
53,2004-08-12,10.08,1.04,3.97
54,2004-08-13,10.11,1.05,3.96
55,2004-08-16,10.08,1.04,3.97
56,2004-08-17,10.23,1.06,3.91
57,2004-08-18,10.15,1.05,3.94
58,2004-08-19,10.24,1.06,3.91
59,2004-08-20,10.17,1.05,3.93
60,2004-08-23,10.06,1.04,3.97
61,2004-08-24,10.17,1.05,3.93
62,2004-08-25,10.26,1.06,3.9
63,2004-08-26,10.4,1.08,3.85
64,2004-08-27,10.47,1.08,3.82
65,2004-08-30,10.71,1.11,3.73
66,2004-08-31,10.75,1.11,3.72
67,2004-09-01,10.87,1.13,3.68
68,2004-09-02,10.86,1.12,3.68
69,2004-09-03,11.02,1.14,3.63
70,2004-09-06,11.11,1.15,3.6
71,2004-09-07,11.21,1.16,3.57
72,2004-09-08,11.24,1.16,3.56
73,2004-09-09,11.11,1.15,3.6
74,2004-09-10,11.18,1.16,3.58
75,2004-09-13,11.19,1.16,3.57
76,2004-09-14,11.17,1.16,3.58
77,2004-09-15,11.21,1.16,3.57
78,2004-09-16,11.36,1.18,3.52
79,2004-09-17,11.4,1.18,3.51
80,2004-09-20,11.42,1.18,3.5
81,2004-09-21,11.51,1.19,3.47
82,2004-09-22,11.68,1.21,3.42
83,2004-09-23,11.6,1.2,3.45
84,2004-09-24,11.71,1.21,3.42
85,2004-09-27,11.72,1.21,3.41
86,2004-09-28,11.63,1.2,3.44
87,2004-09-29,11.74,1.22,3.41
88,2004-09-30,11.82,1.22,3.39
89,2004-10-01,11.93,1.22,3.3
90,2004-10-04,12.07,1.23,3.27
91,2004-10-05,12.24,1.25,3.22
92,2004-10-06,12.25,1.25,3.22
93,2004-10-07,12.3,1.26,3.2
94,2004-10-08,12.3,1.26,3.2
95,2004-10-09,12.34,1.26,3.19
96,2004-10-11,12.2,1.25,3.23
97,2004-10-12,11.96,1.22,3.29
98,2004-10-14,11.93,1.22,3.3
99,2004-10-15,11.87,1.21,3.32
100,2004-10-18,11.91,1.22,3.31
101,2004-10-19,11.99,1.22,3.29
102,2004-10-20,11.97,1.22,3.29
103,2004-10-21,11.91,1.22,3.31
104,2004-10-25,11.66,1.19,3.38
105,2004-10-26,11.71,1.2,3.37
106,2004-10-27,11.86,1.21,3.32
107,2004-10-28,11.94,1.22,3.3
108,2004-10-29,11.89,1.21,3.31
109,2004-11-01,11.87,1.21,3.32
110,2004-11-02,12.01,1.23,3.28
111,2004-11-03,12.14,1.24,3.25
112,2004-11-04,12.24,1.25,3.22
113,2004-11-05,12.23,1.25,3.22
114,2004-11-08,12.21,1.25,3.23
115,2004-11-09,12.15,1.24,3.24
116,2004-11-10,12.2,1.25,3.23
117,2004-11-11,12.22,1.25,3.23
118,2004-11-12,12.27,1.25,3.21
119,2004-11-16,12.43,1.27,3.17
120,2004-11-17,12.65,1.29,3.12
121,2004-11-18,12.82,1.31,3.07
122,2004-11-19,12.62,1.29,3.12
123,2004-11-22,12.62,1.29,3.12
124,2004-11-23,12.87,1.31,3.06
125,2004-11-24,12.97,1.32,3.04
126,2004-11-25,13.01,1.33,3.03
127,2004-11-29,13.2,1.35,2.99
128,2004-11-30,13.18,1.35,2.99
129,2004-12-01,13.25,1.35,2.97
130,2004-12-02,13.62,1.39,2.89
131,2004-12-03,13.72,1.4,2.87
132,2004-12-06,13.77,1.41,2.86
133,2004-12-07,13.81,1.41,2.85
134,2004-12-08,13.72,1.4,2.87
135,2004-12-09,13.76,1.41,2.86
136,2004-12-10,13.73,1.4,2.87
137,2004-12-13,13.8,1.41,2.86
138,2004-12-14,13.93,1.42,2.83
139,2004-12-15,14.09,1.44,2.8
140,2004-12-16,14.31,1.46,2.75
141,2004-12-17,14.37,1.47,2.74
142,2004-12-20,14.53,1.48,2.71
143,2004-12-21,14.72,1.5,2.68
144,2004-12-22,14.65,1.5,2.69
145,2004-12-23,14.94,1.53,2.64
