,Date,P/E,P/B,Div Yield
0,2011-01-31,25.92,5.85,0.68
1,2011-02-01,25.45,5.77,0.69
2,2011-02-02,25.46,5.77,0.69
3,2011-02-03,25.52,5.78,0.69
4,2011-02-04,25.15,5.7,0.7
5,2011-02-07,24.74,5.61,0.71
6,2011-02-08,24.47,5.52,0.72
7,2011-02-09,24.17,5.45,0.73
8,2011-02-10,24.29,5.48,0.73
9,2011-02-11,24.48,5.52,0.72
10,2011-02-14,25.18,5.63,0.7
11,2011-02-15,25.08,5.61,0.71
12,2011-02-16,24.77,5.55,0.71
13,2011-02-17,24.92,5.58,0.71
14,2011-02-18,24.84,5.56,0.71
15,2011-02-21,25.03,5.61,0.71
16,2011-02-22,24.81,5.56,0.71
17,2011-02-23,25.72,5.52,0.72
18,2011-02-24,24.99,5.36,0.74
19,2011-02-25,25.15,5.39,0.74
20,2011-02-28,25.16,5.4,0.73
21,2011-03-01,25.99,5.58,0.71
22,2011-03-03,25.89,5.55,0.71
23,2011-03-04,25.84,5.54,0.72
24,2011-03-07,25.72,5.52,0.72
25,2011-03-08,25.84,5.54,0.72
26,2011-03-09,25.71,5.52,0.72
27,2011-03-10,25.54,5.48,0.72
28,2011-03-11,25.49,5.47,0.73
29,2011-03-14,25.68,5.51,0.72
30,2011-03-15,25.25,5.42,0.73
31,2011-03-16,25.62,5.5,0.72
32,2011-03-17,25.48,5.47,0.73
33,2011-03-18,25.22,5.41,0.73
34,2011-03-21,25.25,5.42,0.73
35,2011-03-22,25.51,5.47,0.72
36,2011-03-23,25.93,5.53,0.76
37,2011-03-24,25.93,5.53,0.76
38,2011-03-25,26.03,5.56,0.76
39,2011-03-28,25.81,5.51,0.76
40,2011-03-29,25.97,5.54,0.76
41,2011-03-30,26.5,5.66,0.74
42,2011-03-31,26.36,5.62,0.75
43,2011-04-01,26.44,5.64,0.74
44,2011-04-04,26.56,5.67,0.74
45,2011-04-05,26.67,5.69,0.74
46,2011-04-06,26.6,5.68,0.74
47,2011-04-07,26.63,5.68,0.74
48,2011-04-08,26.66,5.69,0.74
49,2011-04-11,26.66,5.69,0.74
50,2011-04-13,26.84,5.73,0.73
51,2011-04-15,26.69,5.7,0.74
52,2011-04-18,26.52,5.66,0.74
53,2011-04-19,26.42,5.64,0.74
54,2011-04-20,26.84,5.73,0.73
55,2011-04-21,26.56,5.67,0.74
56,2011-04-25,26.61,5.68,0.74
57,2011-04-26,26.73,5.71,0.74
58,2011-04-27,26.81,5.72,0.73
59,2011-04-28,26.77,5.71,0.73
60,2011-04-29,26.95,5.76,0.73
61,2011-05-02,27.1,5.79,0.72
62,2011-05-03,26.7,5.71,0.74
63,2011-05-04,26.4,5.64,0.74
64,2011-05-05,25.92,5.4,0.79
65,2011-05-06,26.3,5.44,0.79
66,2011-05-09,26.03,5.43,0.79
67,2011-05-10,25.97,5.42,0.79
68,2011-05-11,28.62,5.44,0.78
69,2011-05-12,28.63,5.45,0.78
70,2011-05-13,28.58,5.52,0.77
71,2011-05-16,29.49,5.59,0.76
72,2011-05-17,29.41,5.57,0.77
73,2011-05-18,29.01,5.5,0.78
74,2011-05-19,28.88,5.47,0.78
75,2011-05-20,29.24,5.54,0.77
76,2011-05-23,28.74,5.44,0.78
77,2011-05-24,28.87,5.47,0.78
78,2011-05-25,28.9,5.47,0.78
79,2011-05-26,29.14,5.52,0.77
80,2011-05-27,29.35,5.55,0.77
0,2011-05-30,30.02,5.61,0.75
1,2011-05-31,30.17,5.71,0.74
2,2011-06-01,30.06,5.69,0.74
3,2011-06-02,30.07,5.69,0.74
4,2011-06-03,29.77,5.64,0.75
5,2011-06-06,30.07,5.69,0.74
6,2011-06-07,30.34,5.75,0.73
7,2011-06-08,29.99,5.68,0.74
8,2011-06-09,29.86,5.65,0.75
9,2011-06-10,29.85,5.65,0.75
10,2011-06-13,29.97,5.67,0.74
11,2011-06-14,30.17,5.71,0.74
12,2011-06-15,30.15,5.71,0.74
13,2011-06-16,30.15,5.71,0.74
14,2011-06-17,29.74,5.63,0.75
15,2011-06-20,29.11,5.51,0.77
16,2011-06-21,29.32,5.55,0.76
17,2011-06-22,29.35,5.56,0.76
18,2011-06-23,29.15,5.52,0.76
19,2011-06-24,29.53,5.59,0.75
20,2011-06-27,29.81,5.65,0.75
21,2011-06-28,29.99,5.68,0.74
22,2011-06-29,30.2,5.72,0.74
23,2011-06-30,30.13,5.71,0.74
24,2011-07-01,30.0,5.68,0.74
25,2011-07-04,30.2,5.72,0.74
26,2011-07-05,30.16,5.71,0.74
