,Date,P/E,P/B,Div Yield
0,2000-06-01,22.46,4.52,1.46
1,2000-06-02,23.13,4.65,1.42
2,2000-06-05,23.38,4.71,1.39
3,2000-06-06,23.67,4.76,1.38
4,2000-06-07,23.7,4.78,1.39
5,2000-06-08,24.25,4.89,1.36
6,2000-06-09,24.31,4.9,1.36
7,2000-06-12,23.87,4.81,1.36
8,2000-06-13,23.74,4.79,1.36
9,2000-06-14,23.79,4.77,1.38
10,2000-06-15,23.95,4.81,1.37
11,2000-06-16,24.48,4.91,1.34
12,2000-06-19,24.84,4.98,1.27
13,2000-06-20,24.98,5.01,1.26
14,2000-06-21,24.45,4.91,1.29
15,2000-06-22,24.67,4.95,1.28
16,2000-06-23,22.95,4.89,1.29
17,2000-06-26,22.63,4.82,1.23
18,2000-06-27,22.67,4.83,1.23
19,2000-06-28,22.91,4.88,1.27
20,2000-06-29,23.26,4.96,1.25
21,2000-06-30,22.94,4.89,1.26
22,2000-07-03,23.31,4.97,1.09
23,2000-07-04,23.56,5.02,1.08
24,2000-07-05,23.5,4.86,1.11
25,2000-07-06,23.35,4.83,1.11
26,2000-07-07,23.37,4.83,1.11
27,2000-07-10,23.24,4.81,1.08
28,2000-07-11,23.38,4.84,1.08
29,2000-07-12,23.61,4.88,1.07
30,2000-07-13,23.44,4.85,1.08
31,2000-07-14,23.25,4.81,1.09
32,2000-07-17,22.78,4.71,1.06
33,2000-07-18,22.53,4.66,1.07
34,2000-07-19,22.11,4.57,1.09
35,2000-07-20,21.93,4.54,1.1
36,2000-07-21,21.51,4.45,1.12
37,2000-07-24,20.47,4.25,1.17
38,2000-07-25,20.96,4.35,1.14
39,2000-07-26,20.48,4.25,1.19
40,2000-07-27,20.79,4.32,1.18
41,2000-07-28,20.72,4.3,1.18
42,2000-07-31,20.71,4.3,1.18
43,2000-08-01,20.58,4.29,1.19
44,2000-08-02,20.66,4.31,1.18
45,2000-08-03,20.49,4.27,1.19
46,2000-08-04,20.45,4.27,1.19
47,2000-08-07,20.33,4.24,1.2
48,2000-08-08,20.87,4.35,1.17
49,2000-08-09,20.86,4.35,1.18
50,2000-08-10,20.09,4.22,1.2
51,2000-08-11,19.74,4.15,1.21
52,2000-08-14,19.85,4.18,1.18
53,2000-08-16,20.35,4.28,1.16
